id,name,name_raw,melakarta_num,melakarta_name,arohanam_raw,avarohanam_raw,arohanam,avarohanam,is_melakarta
kanakaambari,Kanakaambari,kanakaambari,1,Kanakaangi,S R1 M1 P D1 S,S N1 D1 P M1 G1 R1 S,S R₁ M₁ P D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
aurvashreyapriya,AurvashrEyapriyA,aurvashrEyapriyA,1,Kanakaangi,S R1 P D1 N1 S,S N1 D1 P R1 S,S R₁ P D₁ N₁ Ṡ,S N₁ D₁ P R₁ Ṡ,False
ausadishapriya,AuSadIshapriyA,auSadIshapriyA,1,Kanakaangi,S R1 G1 D1 N1 S,S N1 D1 G1 R1 S,S R₁ G₁ D₁ N₁ Ṡ,S N₁ D₁ G₁ R₁ Ṡ,False
bhanupriya,BhAnupriyA,bhAnupriyA,1,Kanakaangi,S R1 G1 M1 P S,S P M1 G1 R1 S,S R₁ G₁ M₁ P Ṡ,S P M₁ G₁ R₁ Ṡ,False
bhogacintamani,BhOgacintAmaNI,bhOgacintAmaNI,1,Kanakaangi,S R1 P M1 P D1 N1 S,S D1 P M1 G1 R1 G1 R1 S,S R₁ P M₁ P D₁ N₁ Ṡ,S D₁ P M₁ G₁ R₁ G₁ R₁ Ṡ,False
bhogacintamani,BhOgacintAmaNi,bhOgacintAmaNi,1,Kanakaangi,S R1 G1 M1 P N1 S,S N1 D1 P M1 G1 R1 S,S R₁ G₁ M₁ P N₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
bhogacintamani,BhOgacintAmaNi,bhOgacintAmaNi,1,Kanakaangi,S R1 M1 P D1 N1 S,S D1 P M1 G1 R1 G1 R1 S,S R₁ M₁ P D₁ N₁ Ṡ,S D₁ P M₁ G₁ R₁ G₁ R₁ Ṡ,False
bhogacintamani,BhOgacintAmaNi,bhOgacintAmaNi,1,Kanakaangi,S R1 P M1 P D1 N1 S,S D1 P M1 G1 R1 S,S R₁ P M₁ P D₁ N₁ Ṡ,S D₁ P M₁ G₁ R₁ Ṡ,False
dhaulika,Dhaulika,dhaulika,1,Kanakaangi,S R1 G1 M1 P N1 D1 S,S N1 D1 M1 G1 R1 S,S R₁ G₁ M₁ P N₁ D₁ Ṡ,S N₁ D₁ M₁ G₁ R₁ Ṡ,False
dhaulika,Dhaulika,dhaulika,1,Kanakaangi,S R1 M1 P D1 N1 S,S N1 D1 M1 G1 R1 S,S R₁ M₁ P D₁ N₁ Ṡ,S N₁ D₁ M₁ G₁ R₁ Ṡ,False
doka,DOkA,DOkA,1,Kanakaangi,S G1 P D1 N1 S,S N1 D1 P G1 S,S G₁ P D₁ N₁ Ṡ,S N₁ D₁ P G₁ Ṡ,False
gaganambari,GaganAmbari,gaganAmbari,1,Kanakaangi,S G1 R1 G1 M1 P D1 N1 D1 S,S N1 D1 P M1 G1 R1 S,S G₁ R₁ G₁ M₁ P D₁ N₁ D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
gaganambari,GaganAmbari,gaganAmbari,1,Kanakaangi,S R1 G1 M1 P D1 N1 S,S D1 P M1 G1 R1 S,S R₁ G₁ M₁ P D₁ N₁ Ṡ,S D₁ P M₁ G₁ R₁ Ṡ,False
gandharakapani,GAndhArakapANi,gAndhArakapANi,1,Kanakaangi,S G1 M1 P N1 S,S N1 P M1 G1 S,S G₁ M₁ P N₁ Ṡ,S N₁ P M₁ G₁ Ṡ,False
gautami,Gautami,gautami,1,Kanakaangi,S R1 G1 P D1 N1 S,S N1 D1 P G1 R1 S,S R₁ G₁ P D₁ N₁ Ṡ,S N₁ D₁ P G₁ R₁ Ṡ,False
hemangi,HEmAngi,hEmAngi,1,Kanakaangi,S R1 G1 M1 D1 N1 S,S N1 D1 M1 G1 R1 S,S R₁ G₁ M₁ D₁ N₁ Ṡ,S N₁ D₁ M₁ G₁ R₁ Ṡ,False
indrapriya,IndrapriyA,indrapriyA,1,Kanakaangi,S G1 M1 D1 N1 S,S N1 D1 M1 G1 S,S G₁ M₁ D₁ N₁ Ṡ,S N₁ D₁ M₁ G₁ Ṡ,False
kamalini,Kamalini,kamalini,1,Kanakaangi,S R1 G1 M1 P N1 S,S N1 P M1 G1 R1 S,S R₁ G₁ M₁ P N₁ Ṡ,S N₁ P M₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S R1 M1 P D1 S,S N1 D1 P M1 G1 R1 S,S R₁ M₁ P D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S G1 R1 G1 M1 P D1 N1 D1 S,S N1 D1 P M1 G1 R1 G1 R1 S,S G₁ R₁ G₁ M₁ P D₁ N₁ D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S G1 R1 G1 M1 P D1 N1 D1 S,S N1 D1 P M1 G1 R1 S,S G₁ R₁ G₁ M₁ P D₁ N₁ D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S G1 R1 G1 M1 P N1 S D1 S,S N1 D1 P M1 G1 R1 S,S G₁ R₁ G₁ M₁ P N₁ Ṡ D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S R1 G1 M1 P D1 N1 D1 S,S N1 D1 P M1 G1 R1 G1 R1 S,S R₁ G₁ M₁ P D₁ N₁ D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S R1 G1 M1 P D1 N1 S,S N1 D1 P M1 G1 R1 G1 R1 S,S R₁ G₁ M₁ P D₁ N₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S R1 G1 M1 P D1 S,S N1 D1 P M1 G1 R1 S,S R₁ G₁ M₁ P D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
kanakambari,KanakAmbari,kanakAmbari,1,Kanakaangi,S R1 M1 P D1 S,S N1 D1 M1 G1 R1 S,S R₁ M₁ P D₁ Ṡ,S N₁ D₁ M₁ G₁ R₁ Ṡ,False
kanakangi,KanakAngi,kanakAngi,1,Kanakaangi,S R1 G1 M1 P D1 N1 S,S N1 D1 P M1 G1 R1 S,S R₁ G₁ M₁ P D₁ N₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
kanakatodi,KanakatODi,kanakatODi,1,Kanakaangi,S R1 G1 M1 P D1 S,S N1 D1 P M1 R1 S,S R₁ G₁ M₁ P D₁ Ṡ,S N₁ D₁ P M₁ R₁ Ṡ,False
kantarkapani,KantArkapANi,kantArkapANi,1,Kanakaangi,S G1 M1 P N1 S,S N1 P M1 G1 S,S G₁ M₁ P N₁ Ṡ,S N₁ P M₁ G₁ Ṡ,False
karnatakashuddhasaveri,KarnATakashuddhasAvEri,karnATakashuddhasAvEri,1,Kanakaangi,S R1 M1 P D1 S,S D1 P M1 R1 S,S R₁ M₁ P D₁ Ṡ,S D₁ P M₁ R₁ Ṡ,False
khadgapriya,KhaDgapriyA,khaDgapriyA,1,Kanakaangi,S G1 R1 M1 P D1 P N1 S,S D1 P D1 M1 G1 R1 S,S G₁ R₁ M₁ P D₁ P N₁ Ṡ,S D₁ P D₁ M₁ G₁ R₁ Ṡ,False
khadgapriya,KhaDgapriyA,khaDgapriyA,1,Kanakaangi,S R1 G1 M1 P N1 S,S D1 M1 G1 R1 S,S R₁ G₁ M₁ P N₁ Ṡ,S D₁ M₁ G₁ R₁ Ṡ,False
kirtipriya,KIrtipriyA,kIrtipriyA,1,Kanakaangi,S R1 M1 P D1 S,S N1 D1 P M1 G1 R1 S,S R₁ M₁ P D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
kirtipriya,KIrtipriyA,kIrtipriyA,1,Kanakaangi,S R1 G1 M1 P D1 S,S N1 D1 P M1 G1 R1 S,S R₁ G₁ M₁ P D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
ksanaprabha,KSaNaprabha,kSaNaprabha,1,Kanakaangi,S G1 M1 P D1 S,S D1 P M1 G1 S,S G₁ M₁ P D₁ Ṡ,S D₁ P M₁ G₁ Ṡ,False
ksanapriya,KSaNapriyA,kSaNapriyA,1,Kanakaangi,S G1 M1 P D1 S,S D1 P M1 G1 S,S G₁ M₁ P D₁ Ṡ,S D₁ P M₁ G₁ Ṡ,False
kulankasa,KUlAnkaSA,kUlAnkaSA,1,Kanakaangi,S R1 M1 D1 N1 S,S N1 D1 M1 R1 S,S R₁ M₁ D₁ N₁ Ṡ,S N₁ D₁ M₁ R₁ Ṡ,False
latantapriya,LatAntapriyA,latAntapriyA,1,Kanakaangi,S R1 M1 P D1 S,S D1 P M1 R1 S,S R₁ M₁ P D₁ Ṡ,S D₁ P M₁ R₁ Ṡ,False
lavangi,Lavangi,lavangi,1,Kanakaangi,S R1 M1 D1 S,S D1 M1 R1 S,S R₁ M₁ D₁ Ṡ,S D₁ M₁ R₁ Ṡ,False
malayamarutam,Malayamarutam,malayamarutam,1,Kanakaangi,S R1 G1 P D1 N1 S,S N1 D1 P G1 R1 S,S R₁ G₁ P D₁ N₁ Ṡ,S N₁ D₁ P G₁ R₁ Ṡ,False
mandakini,MandAkini,mandAkini,1,Kanakaangi,S R1 G1 M1 N1 S,S N1 M1 G1 R1 S,S R₁ G₁ M₁ N₁ Ṡ,S N₁ M₁ G₁ R₁ Ṡ,False
manya,Manya,manya,1,Kanakaangi,S G1 M1 P D1 N1 S,S N1 D1 P D1 M1 G1 R1 S,S G₁ M₁ P D₁ N₁ Ṡ,S N₁ D₁ P D₁ M₁ G₁ R₁ Ṡ,False
megha,MEgha,mEgha,1,Kanakaangi,S R1 M1 P N1 D1 P S,S N1 D1 P M1 R1 S,S R₁ M₁ P N₁ D₁ P Ṡ,S N₁ D₁ P M₁ R₁ Ṡ,False
mohanamallar,MOhanamallAr,mOhanamallAr,1,Kanakaangi,S R1 G1 M1 D1 N1 D1 S,S D1 N1 D1 P M1 G1 R1 S,S R₁ G₁ M₁ D₁ N₁ D₁ Ṡ,S D₁ N₁ D₁ P M₁ G₁ R₁ Ṡ,False
muktambari,MuktAmbari,muktAmbari,1,Kanakaangi,S R1 G1 M1 P N1 S,S N1 D1 M1 G1 R1 S,S R₁ G₁ M₁ P N₁ Ṡ,S N₁ D₁ M₁ G₁ R₁ Ṡ,False
osadishapriya,OsadIshapriyA,OsadIshapriyA,1,Kanakaangi,S R1 G1 D1 N1 S,S N1 D1 G1 R1 S,S R₁ G₁ D₁ N₁ Ṡ,S N₁ D₁ G₁ R₁ Ṡ,False
purvamukhari,PUrvamukhari,pUrvamukhari,1,Kanakaangi,S R1 M1 P D1 S,S D1 P M1 R1 S,S R₁ M₁ P D₁ Ṡ,S D₁ P M₁ R₁ Ṡ,False
ragaguchcham,RAgaguchcham,rAgaguchcham,1,Kanakaangi,S R1 G1 P N1 S,S N1 P G1 R1 S,S R₁ G₁ P N₁ Ṡ,S N₁ P G₁ R₁ Ṡ,False
ranganayaki,RanganAyaki,ranganAyaki,1,Kanakaangi,S R1 G1 P D1 S,S D1 P G1 R1 S,S R₁ G₁ P D₁ Ṡ,S D₁ P G₁ R₁ Ṡ,False
rasakushisham,RasakushIsham,rasakushIsham,1,Kanakaangi,S R1 G1 P N1 S,S N1 P G1 R1 S,S R₁ G₁ P N₁ Ṡ,S N₁ P G₁ R₁ Ṡ,False
ratnapurna,RatnapUrNa,ratnapUrNa,1,Kanakaangi,S R1 G1 M1 P D1 N1 S,S N1 D1 M1 G1 R1 M1 G1 S,S R₁ G₁ M₁ P D₁ N₁ Ṡ,S N₁ D₁ M₁ G₁ R₁ M₁ G₁ Ṡ,False
risabhavilasa,RiSabhavilAsa,riSabhavilAsa,1,Kanakaangi,S R1 M1 P D1 S,S D1 P M1 R1 M1 R1 S,S R₁ M₁ P D₁ Ṡ,S D₁ P M₁ R₁ M₁ R₁ Ṡ,False
sanapriya,SAnapriyA,SAnapriyA,1,Kanakaangi,S G1 M1 P D1 S,S D1 P M1 G1 S,S G₁ M₁ P D₁ Ṡ,S D₁ P M₁ G₁ Ṡ,False
sarvashri,SarvashrI,sarvashrI,1,Kanakaangi,S M1 P S,S P M1 S,S M₁ P Ṡ,S P M₁ Ṡ,False
shribhinnapanchama,ShrIbhinnapanchama,shrIbhinnapanchama,1,Kanakaangi,S G1 M1 P D1 N1 S,S N1 D1 P M1 G1 R1 S,S G₁ M₁ P D₁ N₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
shubhashri,ShubhashrI,shubhashrI,1,Kanakaangi,S R1 G1 M2* M1 D1 N1 S,S N1 D1 M2* M1 G1 R1 S,S R₁ G₁ M₂* M₁ D₁ N₁ Ṡ,S N₁ D₁ M₂* M₁ G₁ R₁ Ṡ,False
shuddasatva,Shuddasatva,shuddasatva,1,Kanakaangi,S R1 G1 M1 D1 S,S D1 M1 G1 R1 S,S R₁ G₁ M₁ D₁ Ṡ,S D₁ M₁ G₁ R₁ Ṡ,False
shuddhamukhari,ShuddhamukhAri,shuddhamukhAri,1,Kanakaangi,S G1 R1 G1 M1 P N1 D1 S,S N1 D1 M1 G1 R1 S,S G₁ R₁ G₁ M₁ P N₁ D₁ Ṡ,S N₁ D₁ M₁ G₁ R₁ Ṡ,False
shuddhamukhari,ShuddhamukhAri,shuddhamukhAri,1,Kanakaangi,S R1 G1 M1 P D1 N1 S,S N1 D1 P M1 G1 R1 S,S R₁ G₁ M₁ P D₁ N₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
shuddhamukhari,ShuddhamukhAri,shuddhamukhAri,1,Kanakaangi,S R1 G1 M1 P D1 N1 S,S N1 D1 M1 G1 R1 S,S R₁ G₁ M₁ P D₁ N₁ Ṡ,S N₁ D₁ M₁ G₁ R₁ Ṡ,False
shuddhamukhari,ShuddhamukhAri,shuddhamukhAri,1,Kanakaangi,S R1 G1 P D1 N1 S,S P M1 G1 R1 S,S R₁ G₁ P D₁ N₁ Ṡ,S P M₁ G₁ R₁ Ṡ,False
shuddhamukhari,ShuddhamukhAri,shuddhamukhAri,1,Kanakaangi,S R1 G1 R1 M1 P D1 N1 D1 S,S N1 D1 M1 P M1 G1 R1 S,S R₁ G₁ R₁ M₁ P D₁ N₁ D₁ Ṡ,S N₁ D₁ M₁ P M₁ G₁ R₁ Ṡ,False
shuddhamukhari,ShuddhamukhAri,shuddhamukhAri,1,Kanakaangi,S R1 M1 P D1 S,S N1 D1 P M1 G1 R1 S,S R₁ M₁ P D₁ Ṡ,S N₁ D₁ P M₁ G₁ R₁ Ṡ,False
shuddhasatva,Shuddhasatva,shuddhasatva,1,Kanakaangi,S R1 G1 M1 D1 S,S D1 M1 G1 R1 S,S R₁ G₁ M₁ D₁ Ṡ,S D₁ M₁ G₁ R₁ Ṡ,False
tapollasani,TapOllAsani,tapOllAsani,1,Kanakaangi,S R1 G1 M1 P D1 N1 S,S D1 P G1 R1 S,S R₁ G₁ M₁ P D₁ N₁ Ṡ,S D₁ P G₁ R₁ Ṡ,False
tatillatika,TaTillatikA,taTillatikA,1,Kanakaangi,S R1 M1 P D1 S,S D1 P M1 R1 S,S R₁ M₁ P D₁ Ṡ,S D₁ P M₁ R₁ Ṡ,False
tripureshvari,TripurEshvari,tripurEshvari,1,Kanakaangi,S R1 G1 M1 D1 N1 S,S N1 D1 P M1 D1 M1 G1 R1 S,S R₁ G₁ M₁ D₁ N₁ Ṡ,S N₁ D₁ P M₁ D₁ M₁ G₁ R₁ Ṡ,False
vaddambari,VaddAmbari,vaddAmbari,1,Kanakaangi,S R1 G1 M1 P N1 S,S N1 D1 M1 G1 R1 S,S R₁ G₁ M₁ P N₁ Ṡ,S N₁ D₁ M₁ G₁ R₁ Ṡ,False
vagishvari,VAgIshvari,vAgIshvari,1,Kanakaangi,S R1 G1 M1 P D1 S,S D1 P M1 G1 R1 S,S R₁ G₁ M₁ P D₁ Ṡ,S D₁ P M₁ G₁ R₁ Ṡ,False
vamalocana,VAmalOcanA,vAmalOcanA,1,Kanakaangi,S R1 M1 P N1 S,S N1 P M1 R1 S,S R₁ M₁ P N₁ Ṡ,S N₁ P M₁ R₁ Ṡ,False
phenadhyuti,PhEnadhyuti,phEnadhyuti,2,Ratnaangi,S R1 M1 P D1 P N2 S,S N2 D1 P M1 G1 R1 S,S R₁ M₁ P D₁ P N₂ Ṡ,S N₂ D₁ P M₁ G₁ R₁ Ṡ,False
anandanatani,AnandanaTani,AnandanaTani,2,Ratnaangi,S R1 G1 M1 P N2 S,S N2 P M1 G1 R1 S,S R₁ G₁ M₁ P N₂ Ṡ,S N₂ P M₁ G₁ R₁ Ṡ,False
bairagibhairav,BairAgibhairav,bairAgibhairav,2,Ratnaangi,S R1 M1 P N2 S,S N2 P M1 R1 S,S R₁ M₁ P N₂ Ṡ,S N₂ P M₁ R₁ Ṡ,False
bhupalacintamani,BhUpALacintAmaNi,bhUpALacintAmaNi,2,Ratnaangi,S R1 G1 M1 P D1 N2 D1 S,S N2 D1 P M1 R1 S,S R₁ G₁ M₁ P D₁ N₂ D₁ Ṡ,S N₂ D₁ P M₁ R₁ Ṡ,False
bhupalacintamani,BhUpALacintAmaNi,bhUpALacintAmaNi,2,Ratnaangi,S R1 G1 M1 P D1 N2 D1 S,S D1 N2 D1 P M1 G1 R1 S,S R₁ G₁ M₁ P D₁ N₂ D₁ Ṡ,S D₁ N₂ D₁ P M₁ G₁ R₁ Ṡ,False
bhupalacintamani,BhUpALacintAmaNi,bhUpALacintAmaNi,2,Ratnaangi,S R1 G1 M1 P D1 N2 D1 S,S D1 N2 D1 P M1 R1 S,S R₁ G₁ M₁ P D₁ N₂ D₁ Ṡ,S D₁ N₂ D₁ P M₁ R₁ Ṡ,False
ganamukhari,GAnamukhAri,gAnamukhAri,2,Ratnaangi,S R1 M1 D1 S,S N2 D1 M1 R1 S,S R₁ M₁ D₁ Ṡ,S N₂ D₁ M₁ R₁ Ṡ,False
gaurigandhari,GaurigAndhAri,gaurigAndhAri,2,Ratnaangi,S M1 R1 G1 M1 P D1 N2 D1 S,S N2 D1 P M1 G1 R1 S,S M₁ R₁ G₁ M₁ P D₁ N₂ D₁ Ṡ,S N₂ D₁ P M₁ G₁ R₁ Ṡ,False
gaurigandhari,GaurigAndhAri,gaurigAndhAri,2,Ratnaangi,S M1 R1 G1 M1 P D1 N2 D1 S,N2 D1 P M1 G1 R1 S,S M₁ R₁ G₁ M₁ P D₁ N₂ D₁ Ṡ,N₂ D₁ P M₁ G₁ R₁ Ṡ,False
ghanta,GhaNTA,ghaNTA,2,Ratnaangi,S R1 G1 M1 P D1 N2 P N2,S N2 D1 P M1 G1 R1 S N2,S R₁ G₁ M₁ P D₁ N₂ P N₂,S N₂ D₁ P M₁ G₁ R₁ Ṡ N₂,False
ghanta,GhaNTA,ghaNTA,2,Ratnaangi,S R1 G1 M1 P N2 S,S N2 D1 P M1 G1 R1 S,S R₁ G₁ M₁ P N₂ Ṡ,S N₂ D₁ P M₁ G₁ R₁ Ṡ,False
ghantaravam,GhaNTAravam,ghaNTAravam,2,Ratnaangi,S R1 G1 M1 P N2 S,S N2 D1 P M1 G1 R1 S,S R₁ G₁ M₁ P N₂ Ṡ,S N₂ D₁ P M₁ G₁ R₁ Ṡ,False
ghantaravam,GhaNTAravam,ghaNTAravam,2,Ratnaangi,S R1 S G1 M1 P N2 S,S N2 D1 P M1 G1 R1 S,S R₁ Ṡ G₁ M₁ P N₂ Ṡ,S N₂ D₁ P M₁ G₁ R₁ Ṡ,False
ghantaravam,GhaNTAravam,ghaNTAravam,2,Ratnaangi,S N2 S G1 R1 G1 M1 P N2 S,S N2 D1 P M1 G1 R1 S N2 D1,S N₂ Ṡ G₁ R₁ G₁ M₁ P N₂ Ṡ,S N₂ D₁ P M₁ G₁ R₁ Ṡ N₂ D₁,False
jayasindhu,Jayasindhu,jayasindhu,2,Ratnaangi,S R1 G1 M1 P S,S P N2 D1 M1 G1 R1 S,S R₁ G₁ M₁ P Ṡ,S P N₂ D₁ M₁ G₁ R₁ Ṡ,False
jivaranjani,JIvaranjani,jIvaranjani,2,Ratnaangi,S R1 G1 M1 P D1 N2 S,S D1 P M1 G1 R1 S,S R₁ G₁ M₁ P D₁ N₂ Ṡ,S D₁ P M₁ G₁ R₁ Ṡ,False
kalyanavahini,KalyANavAhini,kalyANavAhini,2,Ratnaangi,S R1 G1 M1 D1 N2 S,S N2 D1 M1 G1 R1 S,S R₁ G₁ M₁ D₁ N₂ Ṡ,S N₂ D₁ M₁ G₁ R₁ Ṡ,False
kamini,KAmini,kAmini,2,Ratnaangi,S R1 G1 P D1 N2 S,S N2 D1 P G1 R1 S,S R₁ G₁ P D₁ N₂ Ṡ,S N₂ D₁ P G₁ R₁ Ṡ,False
kanavahini,KanavAhini,kanavAhini,2,Ratnaangi,S R1 G1 M1 D1 N2 S,S N2 D1 P M1 G1 S,S R₁ G₁ M₁ D₁ N₂ Ṡ,S N₂ D₁ P M₁ G₁ Ṡ,False
kumbhini,Kumbhini,kumbhini,2,Ratnaangi,S R1 G1 D1 N2 S,S N2 D1 G1 R1 S,S R₁ G₁ D₁ N₂ Ṡ,S N₂ D₁ G₁ R₁ Ṡ,False
madhukari,Madhukari,madhukari,2,Ratnaangi,S M1 G1 M1 P D1 N2,P M1 G1 R1 S N2,S M₁ G₁ M₁ P D₁ N₂,P M₁ G₁ R₁ Ṡ N₂,False
maraladhvani,MAraLadhvani,mAraLadhvani,2,Ratnaangi,S G1 M1 P D1 N2 S,S N2 D1 P M1 G1 S,S G₁ M₁ P D₁ N₂ Ṡ,S N₂ D₁ P M₁ G₁ Ṡ,False
mudradharini,MudradhAriNi,mudradhAriNi,2,Ratnaangi,S R1 G1 M1 N2 S,S N2 M1 G1 R1 S,S R₁ G₁ M₁ N₂ Ṡ,S N₂ M₁ G₁ R₁ Ṡ,False
nadasvarupi,NAdasvarUpi,nAdasvarUpi,2,Ratnaangi,S R1 M1 P D1 N2 S,S N2 D1 N2 P M1 G1 R1 G1 R1,S R₁ M₁ P D₁ N₂ Ṡ,S N₂ D₁ N₂ P M₁ G₁ R₁ G₁ R₁,False
niharatri,NihArAtri,nihArAtri,2,Ratnaangi,S G1 P D1 N2 S,S N2 D1 P G1 S,S G₁ P D₁ N₂ Ṡ,S N₂ D₁ P G₁ Ṡ,False
pancalika,PAncalikA,pAncalikA,2,Ratnaangi,S G1 M1 P N2 S,S N2 P M1 G1 S,S G₁ M₁ P N₂ Ṡ,S N₂ P M₁ G₁ Ṡ,False
phenadyuti,PhEnadyuti,phEnadyuti,2,Ratnaangi,S R1 M1 P D1 N2 S,S N2 D1 M1 G1 R1 S,S R₁ M₁ P D₁ N₂ Ṡ,S N₂ D₁ M₁ G₁ R₁ Ṡ,False
phenadyuti,PhEnadyuti,phEnadyuti,2,Ratnaangi,S R1 M1 P D1 N2 S,S N2 D1 P M1 G1 R1 S,S R₁ M₁ P D₁ N₂ Ṡ,S N₂ D₁ P M₁ G₁ R₁ Ṡ,False
phenadyuti,PhEnadyuti,phEnadyuti,2,Ratnaangi,S R1 M1 P D1 P N2 S,S N2 D1 M1 G1 R1 S,S R₁ M₁ P D₁ P N₂ Ṡ,S N₂ D₁ M₁ G₁ R₁ Ṡ,False
phenadyuti,PhEnadyuti,phEnadyuti,2,Ratnaangi,S R1 M1 P D1 P N2 S,S N2 D1 P M1 G1 R1 S,S R₁ M₁ P D₁ P N₂ Ṡ,S N₂ D₁ P M₁ G₁ R₁ Ṡ,False
purvamukhari,PUrvamukhAri,pUrvamukhAri,2,Ratnaangi,S R1 G1 M1 P D1 N2 D1 S,S N2 P M1 G1 R1 S,S R₁ G₁ M₁ P D₁ N₂ D₁ Ṡ,S N₂ P M₁ G₁ R₁ Ṡ,False
puspavasanta,PuSpavasanta,puSpavasanta,2,Ratnaangi,S G1 M1 P D1 N2 S,S N2 D1 M1 G1 R1 S,S G₁ M₁ P D₁ N₂ Ṡ,S N₂ D₁ M₁ G₁ R₁ Ṡ,False
puspavasanta,PuSpavasanta,puSpavasanta,2,Ratnaangi,S R1 G1 P M1 D1 N2 S,S D1 N2 P M1 G1 R1 S,S R₁ G₁ P M₁ D₁ N₂ Ṡ,S D₁ N₂ P M₁ G₁ R₁ Ṡ,False
puspavasanta,PuSpavasanta,puSpavasanta,2,Ratnaangi,S R1 G1 M1 P D1 S,S N2 D1 P M1 R1 S,S R₁ G₁ M₁ P D₁ Ṡ,S N₂ D₁ P M₁ R₁ Ṡ,False
puspavasanta,PuSpavasanta,puSpavasanta,2,Ratnaangi,S R1 G1 M1 P D1 N2 S,S N2 D1 P M1 G1 R1 S,S R₁ G₁ M₁ P D₁ N₂ Ṡ,S N₂ D₁ P M₁ G₁ R₁ Ṡ,False
rasavali,RasAvaLi,rasAvaLi,2,Ratnaangi,S R1 M1 P D1 N2 S,S D1 P M1 G1 R1 S,S R₁ M₁ P D₁ N₂ Ṡ,S D₁ P M₁ G₁ R₁ Ṡ,False
ratnangi,RatnAngi,ratnAngi,2,Ratnaangi,S R1 G1 M1 P D1 N2 S,S N2 D1 P M1 G1 R1 S,S R₁ G₁ M₁ P D₁ N₂ Ṡ,S N₂ D₁ P M₁ G₁ R₁ Ṡ,False
ratnavali,RatnAvaLi,ratnAvaLi,2,Ratnaangi,S R1 M1 P N2 D1 S,S N2 P M1 R1 G1 R1 S,S R₁ M₁ P N₂ D₁ Ṡ,S N₂ P M₁ R₁ G₁ R₁ Ṡ,False
ratnavari,RatnAvari,ratnAvari,2,Ratnaangi,S R1 M1 P N2 D1 S,S N2 P M1 R1 G1 R1 S,S R₁ M₁ P N₂ D₁ Ṡ,S N₂ P M₁ R₁ G₁ R₁ Ṡ,False
revati,REvati,rEvati,2,Ratnaangi,S R1 M1 P N2 S,S N2 P M1 R1 S,S R₁ M₁ P N₂ Ṡ,S N₂ P M₁ R₁ Ṡ,False
risabhangi,RiSabhAngi,riSabhAngi,2,Ratnaangi,S R1 M1 P D1 N2 S,S N2 D1 P M1 G1 R1 S,S R₁ M₁ P D₁ N₂ Ṡ,S N₂ D₁ P M₁ G₁ R₁ Ṡ,False
sarvakalamanjari,SarvakalAmanjari,sarvakalAmanjari,2,Ratnaangi,S R1 G1 P D1 N2 S,S N2 D1 M1 G1 R1 S,S R₁ G₁ P D₁ N₂ Ṡ,S N₂ D₁ M₁ G₁ R₁ Ṡ,False
shrimani,ShrImaNi,shrImaNi,2,Ratnaangi,S R1 G1 P D1 S,S N2 D1 P G1 R1 S,S R₁ G₁ P D₁ Ṡ,S N₂ D₁ P G₁ R₁ Ṡ,False
shrimati,ShrImati,shrImati,2,Ratnaangi,S R1 G1 P D1 S,S N2 D1 P M1 G1 R1 S,S R₁ G₁ P D₁ Ṡ,S N₂ D₁ P M₁ G₁ R₁ Ṡ,False
svayamvara,Svayamvara,svayamvara,2,Ratnaangi,S G1 M1 D1 N2 S,S N2 D1 M1 G1 S,S G₁ M₁ D₁ N₂ Ṡ,S N₂ D₁ M₁ G₁ Ṡ,False
vasantabhupala,VasantabhUpALa,vasantabhUpALa,2,Ratnaangi,S R1 G1 P D1 N2 S,S N2 D1 P M1 G1 M1 G1 R1 S,S R₁ G₁ P D₁ N₂ Ṡ,S N₂ D₁ P M₁ G₁ M₁ G₁ R₁ Ṡ,False
